timesteps,episode_reward,episode_len,resolution_rate,escalation_rate,dropout_rate,timeout_rate,mean_reward_100ep,mean_episode_length_100ep,episodes_seen
34500,6.333534520000001,14.71,0.6192913385826772,0.03779527559055118,0.34291338582677167,0.0,6.333534520000001,14.71,2887
35000,11.051991840000003,14.72,0.6224727838258165,0.03732503888024884,0.3402021772939347,0.0,11.051991840000003,14.72,2919
35500,6.994796080000001,14.92,0.6224529027297193,0.03690888119953864,0.340638216070742,0.0,6.994796080000001,14.92,2950
36000,6.21959786,15.16,0.6236722306525038,0.03717754172989378,0.33915022761760244,0.0,6.21959786,15.16,2986
36500,-2.0921482399999998,14.95,0.6227051330086174,0.036717871862120645,0.3405769951292619,0.0,-2.0921482399999998,14.95,3020
37000,2.7812906999999996,14.4,0.6240295748613678,0.03622920517560074,0.3397412199630314,0.0,2.7812906999999996,14.4,3056
37500,3.69176491,14.8,0.6255941499085923,0.035831809872029254,0.3385740402193784,0.0,3.69176491,14.8,3087
38000,6.25090479,14.85,0.6260838150289018,0.035765895953757225,0.33815028901734107,0.0,6.25090479,14.85,3120
38500,7.65127636,14.55,0.6286528866714184,0.035281539558089804,0.3360655737704918,0.0,7.65127636,14.55,3158
39000,11.394190749999998,13.36,0.6314125087842586,0.03478566408995081,0.3338018271257906,0.0,11.394190749999998,13.36,3198
39500,10.54526047,13.03,0.6326742976066597,0.03433922996878252,0.33298647242455776,0.0,10.54526047,13.03,3235
40000,8.65447145,13.42,0.6342132327733974,0.03393897840246829,0.3318477888241344,0.0,8.65447145,13.42,3269
40500,4.49584693,13.33,0.6348884381338742,0.033468559837728194,0.3316430020283976,0.0,4.49584693,13.33,3310
41000,3.8338411999999993,12.83,0.6341789052069426,0.033044058744993325,0.3327770360480641,0.0,3.8338411999999993,12.83,3349
41500,4.63025456,13.4,0.6360634081902246,0.03302509907529723,0.33091149273447823,0.0,4.63025456,13.4,3381
42000,3.5978538,14.88,0.6366906474820144,0.03302812295618051,0.3302812295618051,0.0,3.5978538,14.88,3411
42500,2.5932555500000003,15.94,0.6370993849142117,0.03269666558756879,0.33020394949821946,0.0,2.5932555500000003,15.94,3442
43000,4.455739810000001,15.64,0.638168427793788,0.03234069804674992,0.32949087415946204,0.0,4.455739810000001,15.64,3476
43500,4.496848280000001,15.63,0.6396196513470681,0.03201267828843106,0.3283676703645008,0.0,4.496848280000001,15.63,3508
44000,6.027316709999999,16.21,0.6413077648538196,0.03175102169129205,0.3269412134548884,0.0,6.027316709999999,16.21,3534
44500,5.211591689999999,16.66,0.6417678182384065,0.03143479614067849,0.32679738562091504,0.0,5.211591689999999,16.66,3567
45000,7.017849740000002,16.22,0.6432532347504621,0.031423290203327174,0.32532347504621073,0.0,7.017849740000002,16.22,3600
45500,7.921222460000001,14.99,0.6446205425175251,0.031392868028040234,0.32398658945443465,0.0,7.921222460000001,14.99,3635
46000,9.448970509999999,15.0,0.6458333333333334,0.03109903381642512,0.32306763285024154,0.0,9.448970509999999,15.0,3667
46500,11.16963898,14.97,0.6478325859491779,0.030792227204783258,0.3213751868460389,0.0,11.16963898,14.97,3700
47000,9.42832542,14.71,0.6490242460082791,0.030455351862803074,0.3205204021289178,0.0,9.42832542,14.71,3737
