algorithm,mode,horizon,seed,avg_per_turn_reward,early_turn_reward,sentiment_improvement,immediate_regret,resolution_rate,mean_episode_reward,success_count,escalation_count,dropout_count,timeout_count
thompson,action_cb,3,3,-0.16147274950584403,-0.16147274950584403,0.0,0.0,0.0,-0.48199615727494455,0,0,3,197
thompson,strategy_cb,3,3,-0.16371665880958525,-0.16371665880958525,0.0,0.0,0.0,-0.48787564325256405,0,0,3,197
thompson_hybrid_k1,truncated_hybrid,3,3,-0.17393998503876174,-0.17393998503876174,0.0,0.0,0.0,-0.5174714554903161,0,0,5,195
thompson_hybrid_k2,truncated_hybrid,3,3,-0.17393998503876174,-0.17393998503876174,0.0,0.0,0.0,-0.5174714554903161,0,0,5,195
thompson_hybrid_k3,truncated_hybrid,3,3,-0.17428311174018274,-0.17428311174018274,0.0,0.0,0.0,-0.5184922574270437,0,0,5,195
thompson,action_cb,5,1,-0.205498991531109,-0.16352109211857513,0.0,0.0,0.005,-1.0059175635447788,1,0,29,170
thompson,strategy_cb,5,1,-0.1581419400284142,-0.1533468565335655,0.0,0.0,0.0,-0.7828026031406504,0,0,4,196
thompson_hybrid_k1,truncated_hybrid,5,1,-0.3165601583156804,-0.15413274657505008,0.0,0.0,0.0,-1.57488678762051,0,196,4,0
thompson_hybrid_k2,truncated_hybrid,5,1,-0.27905076692799397,-0.1537073656867291,0.0,0.0,0.0,-1.38548705779749,0,195,5,0
thompson_hybrid_k3,truncated_hybrid,5,1,-0.2785740693846036,-0.14287334685136013,0.0,0.0,0.005,-1.385905995188403,1,197,2,0
thompson_hybrid_k5,truncated_hybrid,5,1,-0.14790625036935445,-0.14287334685136013,0.0,0.0,0.015,-0.7350940643356918,3,0,4,193
thompson,action_cb,5,2,-0.15756029756282616,-0.1536713948036504,0.0,0.0,0.0,-0.7822868773994321,0,0,3,197
thompson,strategy_cb,5,2,-0.1658995573098947,-0.15352694077268284,0.0,0.0,0.0,-0.8187143153243304,0,0,10,190
thompson_hybrid_k1,truncated_hybrid,5,2,-0.3178482983820625,-0.1528528639423442,0.0,0.0,0.0,-1.5781168014669404,0,196,4,0
thompson_hybrid_k2,truncated_hybrid,5,2,-0.2908876979211378,-0.15291145484598614,0.0,0.0,0.0,-1.4457118586680548,0,197,3,0
thompson_hybrid_k3,truncated_hybrid,5,2,-0.22839437043955552,-0.153423792789838,0.0,0.0,0.0,-1.1339780492323934,0,196,4,0
thompson_hybrid_k5,truncated_hybrid,5,2,-0.16845268917746764,-0.153423792789838,0.0,0.0,0.005,-0.8355253383202398,1,0,8,191
thompson,action_cb,5,3,-0.11855743057348923,-0.16380365465594354,0.0,0.0,0.07,-0.5797458355043624,14,0,14,172
thompson,strategy_cb,5,3,-0.16135220960092667,-0.15780395351283308,0.0,0.0,0.0,-0.7978866764765826,0,0,4,196
thompson_hybrid_k1,truncated_hybrid,5,3,-0.2725146408115266,-0.14489924746594504,0.0,0.0,0.015,-1.3271463007521345,3,188,9,0
thompson_hybrid_k2,truncated_hybrid,5,3,-0.2725146408115266,-0.14489924746594504,0.0,0.0,0.015,-1.3271463007521345,3,188,9,0
thompson_hybrid_k3,truncated_hybrid,5,3,-0.2725146408115266,-0.14489924746594504,0.0,0.0,0.015,-1.3271463007521345,3,188,9,0
thompson_hybrid_k5,truncated_hybrid,5,3,-0.13313228159883622,-0.14489924746594504,0.0,0.0,0.05,-0.6423632587143848,10,0,17,173
thompson,action_cb,8,1,-0.08023774403619113,-0.16679494427395,0.0,0.0,0.03,-0.4593610846071943,6,170,24,0
thompson,strategy_cb,8,1,-0.10350620993299271,-0.1579336535585685,0.0,0.0,0.1,-0.7721563261001259,20,1,17,162
thompson_hybrid_k1,truncated_hybrid,8,1,-0.18676612139789014,-0.11367276009307692,0.0,0.0,0.065,-1.2391932154750012,13,175,12,0
thompson_hybrid_k2,truncated_hybrid,8,1,-0.29397983886101425,-0.25153952222090575,0.0,0.0,0.0,-1.5889610290437823,0,194,6,0
thompson_hybrid_k3,truncated_hybrid,8,1,-0.32034768916742284,-0.29231093096132144,0.0,0.0,0.0,-1.5168463082077472,0,197,3,0
thompson_hybrid_k5,truncated_hybrid,8,1,-0.3454567464347453,-0.29231093096132144,0.0,0.0,0.0,-1.3990998230607183,0,198,2,0
thompson,action_cb,8,2,-0.1789693137269795,-0.1536713948036504,0.0,0.0,0.015,-1.4031194196195196,3,0,31,166
thompson,strategy_cb,8,2,-0.10686593370263976,-0.1505854261622462,0.0,0.0,0.095,-0.8004258434327718,19,0,22,159
thompson_hybrid_k1,truncated_hybrid,8,2,-0.24957379880713584,-0.1528528639423442,0.0,0.0,0.01,-1.7133241288109877,2,190,8,0
thompson_hybrid_k2,truncated_hybrid,8,2,-0.24425992236304836,-0.15291145484598614,0.0,0.0,0.005,-1.6817295654695883,1,191,8,0
thompson_hybrid_k3,truncated_hybrid,8,2,-0.21092700659459668,-0.153423792789838,0.0,0.0,0.0,-1.4490685353048791,0,189,11,0
thompson_hybrid_k5,truncated_hybrid,8,2,-0.08242163549664606,-0.153423792789838,0.0,0.0,0.03,-0.5514007414725624,6,167,27,0
thompson,action_cb,8,3,-0.19213107946324237,-0.15550372886094257,0.0,0.0,0.045,-1.4448257175635826,9,0,64,127
thompson,strategy_cb,8,3,-0.08896104856999724,-0.16246008786385283,0.0,0.0,0.13,-0.6574221489322798,26,0,24,150
thompson_hybrid_k1,truncated_hybrid,8,3,-0.24136937624766325,-0.16606770084928438,0.0,0.0,0.03,-1.6292432896717273,6,186,8,0
thompson_hybrid_k2,truncated_hybrid,8,3,-0.24775204217230082,-0.1640468329761452,0.0,0.0,0.005,-1.6809976061390615,1,188,11,0
thompson_hybrid_k3,truncated_hybrid,8,3,-0.21694925735060133,-0.1601908776903855,0.0,0.0,0.005,-1.4557295168225353,1,184,15,0
thompson_hybrid_k5,truncated_hybrid,8,3,-0.09703535352519618,-0.1601908776903855,0.0,0.0,0.02,-0.6278187373080192,4,159,37,0
thompson,action_cb,20,1,-0.21857872140827306,-0.16204474431125515,0.0,0.0,0.09,-2.34534968071077,18,0,182,0
thompson,strategy_cb,20,1,-0.02375037134375306,-0.15651873810449643,0.0,0.0,0.11,-0.15639619529861393,22,159,19,0
thompson_hybrid_k1,truncated_hybrid,20,1,-0.163471510513048,-0.11367276009307692,0.0,0.0,0.17,-1.2227668986375992,34,0,42,0
thompson_hybrid_k2,truncated_hybrid,20,1,-0.163471510513048,-0.11367276009307692,0.0,0.0,0.17,-1.2227668986375992,34,0,42,0
thompson_hybrid_k3,truncated_hybrid,20,1,-0.163471510513048,-0.11367276009307692,0.0,0.0,0.17,-1.2227668986375992,34,0,42,0
thompson_hybrid_k5,truncated_hybrid,20,1,-0.15054330630007848,-0.11367276009307692,0.0,0.0,0.185,-1.1606888915736056,37,0,37,0
thompson,action_cb,20,2,-0.024655091756137743,-0.14291060749907045,0.0,0.0,0.03,-0.1199470213936101,6,185,9,0
thompson,strategy_cb,20,2,-0.026332414691452852,-0.15352694077268284,0.0,0.0,0.12,-0.17300396452284517,24,153,23,0
thompson_hybrid_k1,truncated_hybrid,20,2,-0.16125724521429466,-0.12826890128123247,0.0,0.0,0.18,-1.1997539043943521,36,0,39,0
thompson_hybrid_k2,truncated_hybrid,20,2,-0.24621112850977428,-0.2630984918977316,0.0,0.0,0.085,-1.493270494411781,17,65,31,0
thompson_hybrid_k3,truncated_hybrid,20,2,-0.30417814224237627,-0.32827372855382714,0.0,0.0,0.04,-1.5786845582379325,8,105,24,0
